Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2024-07-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","68159990","Others","Kgs","36.0","49.32","0.06"
"2024-01-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","84671900","Others Pneumatic Tools","Nos","1.61","66.19","0.08"
"2024-02-01","United States of America","USA","840","Americas","19","Northern America","21","34060010","Candles","Kgs","644.68","1977.13","2.38"
"2016-05-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","52114200","Denim Of Yarns Of Different Colour Of Mxd Cotn Fabrics Weighing>200 Gsm","Sqm","469.17","600.96","0.9"
"2016-06-01","Canada","CAN","124","Americas","19","Northern America","21","21069030","Betel Nut Product Known As Supari","Kgs","1.32","5.75","0.01"
"2018-09-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","88051020","Deck Arrestor Or Similar Gear","Nos","0.03","0.1","0.0"
"2016-03-01","United States of America","USA","840","Americas","19","Northern America","21","73229090","Parts Of Air Heaters And Air Distributors","Kgs","18.21","46.88","0.07"
"2018-09-01","Canada","CAN","124","Americas","19","Northern America","21","30049071","Captopril, Enalapril, Lisinopril, Perindopril And Ramipril","Kgs","3.4","127.92","0.18"
"2021-09-01","Canada","CAN","124","Americas","19","Northern America","21","33049910","Creams Face (Excl Turmaric)","Kgs","8.49","105.19","0.14"
"2023-10-01","Canada","CAN","124","Americas","19","Northern America","21","12119056","Basil,Hyasop,Rose Mary Sage,Savory","Kgs","1.35","2.42","0.0"
"2019-09-01","Cayman Islands","CYM","136","Americas","19","Latin America and the Caribbean","419","61178030","Othr Clotng Accessoris Of Cotton","Nos","0.12","0.34","0.0"
"2023-04-01","Canada","CAN","124","Americas","19","Northern America","21","87081010","Bumpers Etc For Tractors","Kgs","2.03","5.74","0.01"
"2023-03-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","85123010","Horns","Nos","9.57","12.65","0.02"
"2020-04-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","72230091","Wire Of Stainls Stl Thicker Than 1.5 Mm","Kgs","18.0","35.4","0.05"
"2023-05-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","27101989","Other Cutting Oil, Hydraulic Oil, Industrial White Oil, Jute Batching Oil, Mineral Oil For Cosmetic Industry","Kgs","133.25","121.8","0.15"
"2024-03-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","87081090","Bumpers Etc For Othr Vhcls","Kgs","3.4","29.18","0.04"
"2018-07-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","39172190","Others","Kgs","0.45","1.14","0.0"
"2019-08-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","84145990","Others","Nos","77.57","106.37","0.15"
"2022-02-01","United States of America","USA","840","Americas","19","Northern America","21","85361040","High Rupturing Capacity Fuses","Nos","37.14","49.96","0.07"
"2020-11-01","Trinidad and Tobago","TTO","780","Americas","19","Latin America and the Caribbean","419","84314310","Prts Of Borng/Snkng Mchnry,Slf-Prpld","Kgs","0.03","0.52","0.0"
"2020-05-01","Dominican Republic","DOM","214","Americas","19","Latin America and the Caribbean","419","32041989","Other Food Colouring","Kgs","0.23","1.8","0.0"
"2015-05-01","Canada","CAN","124","Americas","19","Northern America","21","63029190","Other Bed Linen, Table Lenen, Toilet Linen, Kitchen Linen: Of Cotton, Other Than Handloom","Kgs","4.63","35.36","0.06"
"2020-06-01","Dominican Republic","DOM","214","Americas","19","Latin America and the Caribbean","419","52052310","Grey","Kgs","21.32","43.2","0.06"
"2023-04-01","United States of America","USA","840","Americas","19","Northern America","21","8061000","Grapes Fresh","Kgs","63.46","115.22","0.14"
"2019-08-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","90191090","Others","Nos","5.0","0.44","0.0"
"2023-06-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","52083230","Shirting Fabrics","Sqm","40.1","41.14","0.05"
"2017-07-01","Canada","CAN","124","Americas","19","Northern America","21","94054090","*Other Electric Lamps And Lighting Fittings","Nos","1.76","0.33","0.0"
"2016-09-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","38249021","*Electroplating Salts (Mixed)","Kgs","8.16","20.93","0.03"
"2024-03-01","United States of America","USA","840","Americas","19","Northern America","21","62112000","Ski Suits","Nos","0.12","14.5","0.02"
"2021-09-01","Argentina","ARG","032","Americas","19","Latin America and the Caribbean","419","64039910","Leather Sandals With Rubber Sole","Prs","1.12","3.48","0.0"
"2016-11-01","United States of America","USA","840","Americas","19","Northern America","21","29394200","Pseudoephedrine (Inn) And Its Salts (Alkaloids Of Ephedra And Their Derivatives; Salts Their Of)","Kgs","0.11","3.87","0.01"
"2015-04-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","29225090","Other Frusemide Aminodial Domperidone","Kgs","0.7","5.8","0.01"
"2021-03-01","United States of America","USA","840","Americas","19","Northern America","21","32041529","Other Vat Orange","Kgs","1.0","24.77","0.03"
"2022-04-01","Canada","CAN","124","Americas","19","Northern America","21","9041200","Crushed Or Ground Pepper","Kgs","86.83","435.66","0.57"
"2023-07-01","United States of America","USA","840","Americas","19","Northern America","21","82053000","Planes,Chisels,Gauges And Smlr Cutting Toolsfor Working Wood","Nos","189.7","271.62","0.33"
"2017-02-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","94049091","*Othr Matress Suport Filld Wth Fethrs/Down","Kgs","0.7","6.34","0.01"
"2016-12-01","Canada","CAN","124","Americas","19","Northern America","21","20083090","Other Citrus Fruits Prepared Or Preserved","Kgs","0.5","0.91","0.0"
"2022-11-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","84248200","Agricultural Or Hoticultural Mchncl Applncs","Nos","0.0","44.44","0.05"
"2022-06-01","United States of America","USA","840","Americas","19","Northern America","21","55169110","Othr Mxd Wvn Fbrc Of Artfcl Stpl Fibres , Unblchd","Sqm","0.08","0.31","0.0"
"2021-05-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","29051420","Salbutamol Sulphate","Kgs","0.0","0.67","0.0"
"2018-08-01","United States of America","USA","840","Americas","19","Northern America","21","42022910","Hnbgs Of Othr Mtrls Excl Wkrwrk/Bskt Wrk","Nos","118.08","554.17","0.8"
"2017-01-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","32041759","Others Pigment Blue","Kgs","44.82","184.64","0.27"
"2016-06-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","60032000","Fbrcs Of Cotton","Kgs","6.0","8.94","0.01"
"2016-09-01","United States of America","USA","840","Americas","19","Northern America","21","82159900","Othr Articles Not In Sets","Kgs","230.45","613.35","0.92"
"2023-11-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","25140000","Slate W/N Roughly Trmmd/Merely Cut By Sawing/Othrwse Into Blks/Slbs Of A Rctnglr And Sq Shape","Kgs","75.5","18.68","0.02"
"2015-03-01","United States of America","USA","840","Americas","19","Northern America","21","84833000","Bearing Housungs,Not Incorporating Ball Or Roller Bearings;Plain Shaft Bearings","Nos","26.59","187.09","0.3"
"2023-08-01","United States of America","USA","840","Americas","19","Northern America","21","84839000","Parts Of The Items Of Hdg 8483","Nos","683.99","5401.98","6.53"
"2024-07-01","El Salvador","SLV","222","Americas","19","Latin America and the Caribbean","419","30049031","Promethazine, Chlorpheniramine, Astemizole And Ceteirizine","Kgs","0.14","5.76","0.01"
"2023-12-01","United States of America","USA","840","Americas","19","Northern America","21","44119229","Other Board","Kgs","3.1","23.24","0.03"
"2022-05-01","United States of America","USA","840","Americas","19","Northern America","21","29159040","Pivaloyl Chloride","Kgs","19.0","63.45","0.08"
"2022-04-01","United States of America","USA","840","Americas","19","Northern America","21","61042300","Ensembles Of Synthetic Fibres","Nos","0.12","4.23","0.01"
"2020-06-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","85365090","Othr Switches","Nos","0.18","0.73","0.0"
"2021-02-01","United States of America","USA","840","Americas","19","Northern America","21","74199930","*Articles Of Brass","Kgs","574.79","4647.2","6.39"
"2015-10-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","33059040","Hair Dyes ( Natural,Herbal 0R Synthetic )","Kgs","1.2","4.49","0.01"
"2023-04-01","Canada","CAN","124","Americas","19","Northern America","21","44182190","Other[Of Tropical Wood:(Doors And Their Frames And Thresholds:)]","Kgs","0.2","1.37","0.0"
"2023-04-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","74122019","0Thr Tube Or Pipe Ftngs Of Brass","Kgs","0.01","0.3","0.0"
"2018-10-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","39069090","Others Acrylic Polymers In Primary Forms Excl. Poly (Methyl Methacrylate","Kgs","7.0","10.51","0.01"
"2022-03-01","Paraguay","PRY","600","Americas","19","Latin America and the Caribbean","419","73069011","Erw Precision Other Tubes Made Up Of Iron","Kgs","10.17","18.51","0.02"
"2023-02-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","73251000","Othr Articles Of Non-Malleable Cast Iron","Kgs","1.12","6.07","0.01"
"2024-02-01","Canada","CAN","124","Americas","19","Northern America","21","82119390","Other Knives","Kgs","0.3","1.94","0.0"
"2019-03-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","84619000","0Ther Machine Tools Of Hdg No 8461","Nos","0.07","6.67","0.01"
"2023-10-01","United States of America","USA","840","Americas","19","Northern America","21","82055990","Othr Hnd Tool Incl Glaziers Diamonds Nes","Nos","500.35","2247.42","2.7"
"2022-05-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","29339990","Other","Kgs","12.02","1668.73","2.16"
"2023-08-01","Nicaragua","NIC","558","Americas","19","Latin America and the Caribbean","419","90211000","Orthopeaedic Or Fracture Appliances","Nos","1.68","7.18","0.01"
"2015-12-01","Guyana","GUY","328","Americas","19","Latin America and the Caribbean","419","30049087","Antibacterial Formulations, N.E.S.","Kgs","0.1","0.41","0.0"
"2023-10-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","85044090","Others","Nos","0.01","0.49","0.0"
"2016-06-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","40116200","*New Pnmtc Tyres Used On Constrn Or Industrvehicle/Machine Having"Hearing- Bone" Or Similar Trea","Nos","0.14","46.61","0.07"
"2021-12-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","30045020","Mineral And Parenteral Nutritional Spplmnts/Contng Calsium Slts Wth Vtmn In Tablts Etc","Kgs","1.7","18.93","0.03"
"2024-03-01","United States of America","USA","840","Americas","19","Northern America","21","90011000","Optcl Fibrs,Optical Fibre Bundles And Cables","Kgs","244.55","4521.45","5.45"
"2015-07-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","84249000","Parts Of Mechanical Appliances","Kgs","0.02","0.24","0.0"
"2024-05-01","Antigua and Barbuda","ATG","28","Americas","19","Latin America and the Caribbean","419","30049069","Other Nonsteroidal Antiinflamatory, Analgestics And Antipyratic Drugs","Kgs","0.01","0.4","0.0"
"2021-02-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","63049299","Other Furnishing Acricles","Nos","43.78","34.59","0.05"
"2018-04-01","Guatemala","GTM","320","Americas","19","Latin America and the Caribbean","419","33021090","Other Mxtr Of Odorfrs Sbstns Of A Kind Usdkind Usd In Food/Drink Industries","Kgs","0.21","2.29","0.0"
"2019-11-01","Cuba","CUB","192","Americas","19","Latin America and the Caribbean","419","62114300","Other Garments Of Man-Made Fibres","Nos","2.48","1.55","0.0"
"2016-09-01","United States of America","USA","840","Americas","19","Northern America","21","9011139","Coffee Rob Parchment Other Grade","Kgs","2.0","3.91","0.01"
"2017-12-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","82130000","Scisors Tailrs Shears And Simlr Shears And Blades Therefor","Kgs","0.3","4.32","0.01"
"2020-08-01","United States of America","USA","840","Americas","19","Northern America","21","52085990","Shirting Fabrics","Sqm","20.95","31.13","0.04"
"2023-10-01","Canada","CAN","124","Americas","19","Northern America","21","84631090","Others","Nos","0.06","5.13","0.01"
"2018-02-01","United States of America","USA","840","Americas","19","Northern America","21","53092920","Printed Wovn Fabrics Contng Flax <85%","Sqm","0.12","1.52","0.0"
"2022-04-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","49019900","Othr Printd Books Etc Of Hd No. 4901","Nos","64.0","34.47","0.05"
"2022-09-01","Canada","CAN","124","Americas","19","Northern America","21","9023030","Black Tea In Packt>1 Kg But<= 3 Kg","Kgs","0.23","6.73","0.01"
"2023-12-01","United States of America","USA","840","Americas","19","Northern America","21","20089999","Other Fruits Prepared/Preserved","Kgs","447.87","552.8","0.66"
"2019-06-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","85122020","Automobile Lighting Eqpmnt","Nos","2.55","3.61","0.01"
"2023-07-01","Canada","CAN","124","Americas","19","Northern America","21","62045290","Skirts And Divided Skirts Of Cotton - Other","Nos","3.65","20.13","0.02"
"2020-11-01","Canada","CAN","124","Americas","19","Northern America","21","86072900","Othr Brakes And Parts Thereof","Kgs","2.7","34.71","0.05"
"2016-05-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","85177090","*Othr Parts Of Telephonc/Telegrphc Apparts","Kgs","0.35","93.36","0.14"
"2023-06-01","United States of America","USA","840","Americas","19","Northern America","21","22029990","Other","Ltr","31.21","50.18","0.06"
"2020-07-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","84835090","Others","Nos","0.2","0.69","0.0"
"2023-12-01","Canada","CAN","124","Americas","19","Northern America","21","33071090","Other Pre Or After Shave Prepns","Kgs","0.01","0.09","0.0"
"2020-03-01","United States of America","USA","840","Americas","19","Northern America","21","90173022","Gauges,Ring","Nos","0.21","12.83","0.02"
"2018-02-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","42022910","Hnbgs Of Othr Mtrls Excl Wkrwrk/Bskt Wrk","Nos","0.86","0.19","0.0"
"2016-01-01","United States of America","USA","840","Americas","19","Northern America","21","21012010","Instant Tea","Kgs","137.64","543.29","0.81"
"2020-11-01","Uruguay","URY","858","Americas","19","Latin America and the Caribbean","419","67030010","Human Hair Dressed Or Otherwise Worked","Kgs","0.01","0.5","0.0"
"2019-01-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","62069000","Blouses,Shirts Etc Of Othr Txtl Materials","Nos","1.4","4.93","0.01"
"2024-04-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","28273200","Chlorides Of Aluminium","Kgs","0.15","0.69","0.0"
"2018-06-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","82055930","Hand T00Ls F0R Specified Uses, Such As,Watch Makng T00Ls,G0Ldsmith Tools","Kgs","1.52","8.6","0.01"
"2018-06-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","32041984","Food Colouring Red 9 (Amaranth)","Kgs","19.2","83.58","0.12"
"2015-07-01","United States of America","USA","840","Americas","19","Northern America","21","33061010","Tooth Powder","Kgs","0.15","0.51","0.0"
"2020-05-01","United States of America","USA","840","Americas","19","Northern America","21","27121090","Other Petroleum Jelly","Kgs","365.23","440.78","0.58"
"2016-08-01","Virgin Islands (U.S.)","VIR","850","Americas","19","Latin America and the Caribbean","419","62042919","Othr Ensembles Of Othr Txtl Matrals Of Slk","Nos","0.42","0.43","0.0"
"2024-05-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","85412900","Other Transistor,Other Than Photosensitive Transistors","Nos","163.77","7.15","0.01"
"2018-04-01","Canada","CAN","124","Americas","19","Northern America","21","85423900","Other","Nos","0.53","0.23","0.0"
"2020-01-01","United States of America","USA","840","Americas","19","Northern America","21","84333000","Other Haymaking Machinery","Nos","0.01","0.42","0.0"
"2021-07-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","84849000","Othr Gaskets And Smlr Joints Of Metal","Kgs","0.02","0.66","0.0"
"2022-07-01","United States of America","USA","840","Americas","19","Northern America","21","48030090","Other Tissue Paper","Kgs","210.22","416.71","0.52"
"2021-12-01","United States of America","USA","840","Americas","19","Northern America","21","90189099","Othr Srgcl Instrmnts And Applncs (Incl Vtrnry)","Nos","170.78","776.69","1.03"
"2020-05-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","48025790","Other Paper","Kgs","25.0","13.96","0.02"
"2022-03-01","United States of America","USA","840","Americas","19","Northern America","21","42023990","Others","Nos","190.01","479.77","0.63"
"2022-02-01","United States of America","USA","840","Americas","19","Northern America","21","84822090","Other Tapered Rolled Bearings","Nos","579.78","2764.15","3.69"
"2024-06-01","Guatemala","GTM","320","Americas","19","Latin America and the Caribbean","419","84798999","Other","Nos","0.01","2.56","0.0"
"2019-01-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","52094200","Denim","Sqm","19.08","40.8","0.06"
"2016-05-01","Haiti","HTI","332","Americas","19","Latin America and the Caribbean","419","27121090","Other Petroleum Jelly","Kgs","69.0","53.37","0.08"
"2019-03-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","52121500","Othr Prntd Woven Fbrcs Wghng <=200 G/M2","Sqm","1.15","1.49","0.0"
"2019-08-01","Jamaica","JAM","388","Americas","19","Latin America and the Caribbean","419","69120040","Clay Articls As Tableware, Kitchenware Etc","Kgs","0.6","1.15","0.0"
"2024-06-01","Dominican Republic","DOM","214","Americas","19","Latin America and the Caribbean","419","30049035","Dicyclomine, Metoclopramide And Dexame Thasone And Ondansetron","Kgs","0.21","5.3","0.01"
"2022-10-01","United States of America","USA","840","Americas","19","Northern America","21","90328990","Othr Atmtc Rgltng/Cntrlng Instrmntsandapprts","Nos","149.13","2682.57","3.26"
"2020-09-01","Dominican Republic","DOM","214","Americas","19","Latin America and the Caribbean","419","87141090","Parts And Accessories Of Motorcycle Excl. Saddle","Kgs","2.29","23.28","0.03"
"2018-02-01","Honduras","HND","340","Americas","19","Latin America and the Caribbean","419","63049260","Towel Orht Thn Terry Of Cotn, Ntkntd/Crcht","Nos","1.73","1.12","0.0"
"2016-08-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","52052110","Grey","Kgs","20.96","42.43","0.06"
"2023-08-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","25030090","Other Sulphur","Kgs","273.4","324.32","0.39"
"2022-08-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","84679200","Parts Of Pneumatic Tools","Kgs","5.29","108.36","0.14"
"2015-04-01","Uruguay","URY","858","Americas","19","Latin America and the Caribbean","419","32021000","Synthetic Organic Tanning Substances","Kgs","36.0","14.53","0.02"
"2016-04-01","United States of America","USA","840","Americas","19","Northern America","21","58109210","Embroidery Badges, Mdtifs And The Like","Kgs","9.97","199.85","0.3"
"2022-04-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","29161590","Other Oleic Linoleic Acids And Their Salts Andestrs","Kgs","2.2","5.76","0.01"
"2023-12-01","Honduras","HND","340","Americas","19","Latin America and the Caribbean","419","38099190","Othr Finish Agents Used In Txtile Industry","Kgs","9.0","47.97","0.06"
"2019-03-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","40169340","Gaskets","Kgs","0.06","0.41","0.0"
"2023-06-01","United States of America","USA","840","Americas","19","Northern America","21","87149290","Others","Nos","8.8","0.42","0.0"
"2019-11-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","76130029","Other High Pressure Cylinder","Kgs","2.76","14.61","0.02"
"2018-10-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","29173920","Dioctl Phthalate","Kgs","4.0","4.48","0.01"
"2019-10-01","Haiti","HTI","332","Americas","19","Latin America and the Caribbean","419","87112029","Motr Cyclwth Cylndr Cpcty >75 Bt<=250 Cc","Nos","0.3","96.04","0.14"
"2016-07-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","52103190","Others","Sqm","25.14","28.16","0.04"
"2021-12-01","United States of America","USA","840","Americas","19","Northern America","21","69141000","Othr Cermc Artcls Of Porcelain/China","Kgs","9.55","29.04","0.04"
"2016-07-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","90303100","Multimeters","Nos","0.0","0.59","0.0"
"2017-08-01","United States of America","USA","840","Americas","19","Northern America","21","55151190","Fbrc Of Polstr,Mxd Wth Viscos Ryon,Othrs","Sqm","4.97","11.51","0.02"
"2016-09-01","Canada","CAN","124","Americas","19","Northern America","21","84249000","Parts Of Mechanical Appliances","Kgs","0.54","13.59","0.02"
"2019-03-01","Paraguay","PRY","600","Americas","19","Latin America and the Caribbean","419","58062000","Othr Narrow Wvn Fbrcs Cntng By Wt 5% Or More Of Elastomrc Yrn/Rubr Thrd","Kgs","0.03","0.21","0.0"
"2022-10-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","44209090","Others","Kgs","0.04","0.55","0.0"
"2019-04-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","95069980","Other Guards","Nos","26.11","14.82","0.02"
"2021-12-01","United States of America","USA","840","Americas","19","Northern America","21","85171219","Mobile Phones, Push Button Type","Nos","0.01","0.85","0.0"
"2020-11-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","72221111","Bright Bars-Chromium Type","Kgs","40.44","163.36","0.22"
"2023-11-01","United States of America","USA","840","Americas","19","Northern America","21","29303000","Thiuram Mono-,Di-Or Tetrasulphides","Kgs","5.6","18.34","0.02"
"2017-04-01","Canada","CAN","124","Americas","19","Northern America","21","28352500","Calcium Hydrogenortho Phosphate (Dicalcium Phosphate","Kgs","7.4","11.6","0.02"
"2015-02-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","54071035","Dyed Othr Nylon/Polyamide Fbrcs ( Filament )","Sqm","9.79","25.11","0.04"
"2020-12-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","84439100","Parts And Accessories Of Printing Machinery Used For Printing By Means Of Plates, Cylinders And Other Printing","Kgs","0.12","3.61","0.0"
"2023-04-01","Canada","CAN","124","Americas","19","Northern America","21","85334030","Thermistors","Nos","0.48","25.06","0.03"
"2016-04-01","United States of America","USA","840","Americas","19","Northern America","21","85151900","0Thr Brazing/Soldering Machinesand Apparatus","Nos","0.02","3.82","0.01"
"2020-03-01","Canada","CAN","124","Americas","19","Northern America","21","58071090","Wvn Labls Badgs Etc Of Other Txtl Matrls","Kgs","0.02","1.34","0.0"
"2019-08-01","Paraguay","PRY","600","Americas","19","Latin America and the Caribbean","419","84229090","Parts Of Other Machinery","Kgs","0.0","0.22","0.0"
"2019-12-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","90251990","Others","Nos","0.03","0.43","0.0"
"2021-03-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","29334900","Othe Cmpnds Cntng In Structure A Quinolineor Isoquinoline Ring System (W/N Hydrgntd),Not Further Fused","Kgs","16.68","214.48","0.29"
"2019-11-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","57024990","Othr Flr Cvrngs","Sqm","1.35","6.95","0.01"
"2022-06-01","Canada","CAN","124","Americas","19","Northern America","21","12119099","*Other Plants And Parts Of Plants Usd In Prfmry, Pharmcy, Insecticdl/Fungicdl Purpse, Fresh/Dried","Kgs","9.08","40.23","0.05"
"2015-02-01","United States of America","USA","840","Americas","19","Northern America","21","96180000","Talrsdumis And Othrlay Fgrs;Autmta And Othr Anmtd Displays Used Fr Shop Window Drssng","Kgs","3.4","49.09","0.08"
"2019-07-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","39011010","Linear L0W Density P0Lyethylene (Lldpe)","Kgs","154.0","102.1","0.15"
"2024-03-01","United States of America","USA","840","Americas","19","Northern America","21","62029010","Overcoats,Raincoats,Carcoats,Capes Cloaks And Smlr Artcls","Nos","0.37","21.53","0.03"
"2015-05-01","Canada","CAN","124","Americas","19","Northern America","21","9103090","Other Turmeric","Kgs","0.44","1.23","0.0"
"2015-12-01","United States of America","USA","840","Americas","19","Northern America","21","68042390","Others Including Finishied Parts","Kgs","1.0","2.33","0.0"
"2019-12-01","Canada","CAN","124","Americas","19","Northern America","21","39202090","Pltes Shts Of Polymrs Of Propyln Nes","Kgs","37.51","99.29","0.14"
"2017-05-01","Guatemala","GTM","320","Americas","19","Latin America and the Caribbean","419","32041984","Food Colouring Red 9 (Amaranth)","Kgs","3.5","17.03","0.03"
"2022-02-01","Uruguay","URY","858","Americas","19","Latin America and the Caribbean","419","33019029","Oleoresines Of Spices N.E.S.,","Kgs","0.15","8.64","0.01"
"2015-11-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","85049090","Prts Of Othr Electric Pwr Mchnry Of Hd8504Power Machinery Of Hdg 8504","Kgs","0.01","0.33","0.0"
"2022-01-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","84833000","Bearing Housungs,Not Incorporating Ball Or Roller Bearings;Plain Shaft Bearings","Nos","5.1","14.54","0.02"
"2021-11-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","49111010","Posters, Printed","Kgs","0.1","0.21","0.0"
"2019-08-01","Dominican Republic","DOM","214","Americas","19","Latin America and the Caribbean","419","39202090","Pltes Shts Of Polymrs Of Propyln Nes","Kgs","2.53","3.12","0.0"
"2021-09-01","Uruguay","URY","858","Americas","19","Latin America and the Caribbean","419","62045200","Skirts And Divided Skirts Of Cotton","Nos","1.19","3.17","0.0"
"2016-05-01","Honduras","HND","340","Americas","19","Latin America and the Caribbean","419","85021100","Genrtng Sets Wth Cmprssn Igntn Intrnl Cmbstn Pstn Engns(Diesl/Semi-Diesl Engns) Of An Output Nt Excdng 75 Kva","Nos","0.04","213.22","0.32"
